Distrito electoral,Organización Política,Tipo Organización Política,Votos,% Votos,Año
UCAYALI,ACCION POPULAR,PARTIDO POLÍTICO,"8,814",4.38%,2016
UCAYALI,ALIANZA POPULAR,ALIANZA ELECTORAL,"7,684",3.82%,2016
UCAYALI,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"1,969",0.98%,2016
UCAYALI,FRENTE ESPERANZA,PARTIDO POLÍTICO,"2,537",1.26%,2016
UCAYALI,PERU POSIBLE,PARTIDO POLÍTICO,"2,848",1.42%,2016
UCAYALI,PROGRESANDO PERU,PARTIDO POLÍTICO,"7,198",3.58%,2016
UCAYALI,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,364,0.18%,2016
UCAYALI,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,754,0.38%,2016
UCAYALI,PERU LIBERTARIO,PARTIDO POLÍTICO,551,0.27%,2016
UCAYALI,PERU NACION,PARTIDO POLÍTICO,299,0.15%,2016
UCAYALI,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,285,0.14%,2016
EXTRANJERO,FUERZA POPULAR,PARTIDO POLÍTICO,"113,351",42.19%,2016
EXTRANJERO,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"65,004",24.19%,2016
EXTRANJERO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"33,703",12.54%,2016
EXTRANJERO,ACCION POPULAR,PARTIDO POLÍTICO,"26,777",9.97%,2016
EXTRANJERO,ALIANZA POPULAR,ALIANZA ELECTORAL,"13,061",4.86%,2016
EXTRANJERO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"1,574",0.59%,2016
EXTRANJERO,FRENTE ESPERANZA,PARTIDO POLÍTICO,"6,752",2.51%,2016
EXTRANJERO,PERU POSIBLE,PARTIDO POLÍTICO,"2,160",0.80%,2016
EXTRANJERO,PROGRESANDO PERU,PARTIDO POLÍTICO,"1,130",0.42%,2016
EXTRANJERO,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,832,0.31%,2016
EXTRANJERO,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"2,250",0.84%,2016
EXTRANJERO,PERU LIBERTARIO,PARTIDO POLÍTICO,"1,252",0.47%,2016
EXTRANJERO,PERU NACION,PARTIDO POLÍTICO,374,0.14%,2016
EXTRANJERO,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,462,0.17%,2016
