Distrito electoral,Organización Política,Tipo Organización Política,Votos,% Votos,Año
MOQUEGUA,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,38,0.04%,2011
PASCO,FUERZA 2011,PARTIDO POLÍTICO,"35,148",30.84%,2011
PASCO,GANA PERU,PARTIDO POLÍTICO,"34,693",30.44%,2011
PASCO,PERÚ POSIBLE,ALIANZA ELECTORAL,"22,075",19.37%,2011
PASCO,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"14,361",12.60%,2011
PASCO,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"6,804",5.97%,2011
PASCO,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,339,0.30%,2011
PASCO,DESPERTAR NACIONAL,PARTIDO POLÍTICO,180,0.16%,2011
PASCO,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,138,0.12%,2011
PASCO,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,75,0.07%,2011
PASCO,FUERZA NACIONAL,PARTIDO POLÍTICO,73,0.06%,2011
PASCO,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,71,0.06%,2011
PIURA,FUERZA 2011,PARTIDO POLÍTICO,"256,116",32.03%,2011
PIURA,GANA PERU,PARTIDO POLÍTICO,"249,210",31.17%,2011
PIURA,PERÚ POSIBLE,ALIANZA ELECTORAL,"127,909",16.00%,2011
PIURA,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"91,880",11.49%,2011
PIURA,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"69,481",8.69%,2011
PIURA,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,"1,499",0.19%,2011
PIURA,DESPERTAR NACIONAL,PARTIDO POLÍTICO,"1,155",0.14%,2011
PIURA,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,724,0.09%,2011
PIURA,FUERZA NACIONAL,PARTIDO POLÍTICO,679,0.09%,2011
PIURA,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,551,0.07%,2011
PIURA,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,386,0.05%,2011
